id,RelEv,TagDate,RelSite,RelLoc,RelDate,RelTime,wtempC,weight,FL,AirTime,CanID
38916,8,2016-03-05,S1,TISDALE,2016-03-06,2108,14.4,32,141,3:55,15
36488,2,2016-02-20,S1,TISDALE,2016-02-21,1039,11.4,32.1,144,1:26,5
38922,8,2016-03-05,S1,TISDALE,2016-03-06,2108,14.4,32.1,143,1:36,15
39470,18,2016-03-10,T3,TISDALE,2016-03-11,759,12.7,32.1,145,1:34,10
39098,53,2016-03-16,S1,TISDALE,2016-03-18,959,12.2,32.1,147,1:59,3
36465,4,2016-02-20,S1,TISDALE,2016-02-21,2301,13,32.2,148,1:26,13
36647,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,32.3,142,2:49,2
36436,4,2016-02-20,S1,TISDALE,2016-02-21,2308,13,32.3,144,1:50,15
39387,6,2016-03-05,S1,TISDALE,2016-03-06,859,14.7,32.3,143,2:25,8
39355,7,2016-03-05,S1,TISDALE,2016-03-06,1441,14.1,32.3,148,2:16,12
36596,2,2016-02-20,S1,TISDALE,2016-02-21,1046,11.4,32.5,144,2:02,7
39412,5,2016-03-05,S1,TISDALE,2016-03-06,314,14.1,32.5,144,1:27,4
39368,7,2016-03-05,S1,TISDALE,2016-03-06,1436,14.1,32.5,146,1:53,10
36507,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,32.8,147,1:25,4
36370,3,2016-02-20,S1,TISDALE,2016-02-21,1655,13,32.8,145,1:39,9
39403,6,2016-03-05,S1,TISDALE,2016-03-06,850,14.7,33,144,1:47,6
39858,19,2016-03-10,T3,TISDALE,2016-03-11,802,12.7,33,149,3:04,11
39089,51,2016-03-16,S1,TISDALE,2016-03-17,1800,12.2,33.1,147,1:55,2
36472,4,2016-02-20,S1,TISDALE,2016-02-21,2301,13,33.2,145,1:32,13
38792,5,2016-03-05,S1,TISDALE,2016-03-06,301,14.1,33.2,151,1:42,1
38842,6,2016-03-05,S1,TISDALE,2016-03-06,846,14.7,33.4,151,1:32,5
39395,6,2016-03-05,S1,TISDALE,2016-03-06,850,14.7,33.6,147,1:31,6
39609,52,2016-03-16,S1,TISDALE,2016-03-18,200,12.2,33.6,150,1:26,1
