"","id","TagDate","RelSite","RelLoc","RelDate","RelTime","wtempC","weight","FL","AirTime","CanID","RelEv"
"260",38784,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,43.4,156,"2:29",1,2
"261",38785,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,53.6,171,"2:03",1,2
"262",38786,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,28.8,139,"2:22",1,2
"263",38787,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,46.7,163,"1:32",1,2
"264",38788,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,38,150,"2:00",1,2
"265",38789,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,82.1,199,"1:55",1,2
"266",38790,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,60.5,175,"2:12",1,2
"267",38791,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,49.6,168,"1:52",1,2
"268",38792,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,33.2,151,"1:42",1,2
"269",38793,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,55.7,169,"1:51",1,2
"270",38794,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,95,205,"1:44",1,2
